,predicted_scores,similarity_scores
rxn00516_c,0.99994602,0.7473941323621035
rxn00505_c,0.99994598,0.6708378314238524
rxn07450_c,0.999945762,0.5999792034938161
rxn30666_c,0.9999456,0.6951779510799045
rxn05909_c,0.9999455019999999,0.7302840875654699
rxn00190_c,0.99994544,0.8401530610723813
rxn13143_c,0.999945278,0.8432752611815657
rxn00467_c,0.9999450920000001,0.5000072207900979
rxn26848_c,0.99994509,0.7542494117323439
rxn09421_c,0.9999450480000001,0.9946604420068715
rxn08981_c,0.999944964,0.745347381093332
rxn10667_c,0.9999449460000001,0.9302124719899493
rxn00210_c,0.9999448340000001,0.6804236436904834
rxn07218_c,0.9999447660000002,0.789508010213254
rxn09420_c,0.9999447660000002,0.993809319582573
rxn24287_c,0.9999447660000002,0.8009645307078493
rxn00436_c,0.9999446940000001,0.7878191753281284
rxn05881_c,0.999944564,0.6804236436904834
rxn33952_c,0.999944184,0.857137551990494
rxn01349_c,0.9999441579999999,0.6123724356957946
rxn09014_c,0.999944116,0.75376678283352
rxn00418_c,0.999944086,0.5256989559627193
rxn14376_c,0.9999439000000001,0.8169848059002462
rxn15056_c,0.999943898,0.6708378314238514
rxn00703_c,0.999943884,0.632455532033676
rxn09925_c,0.99994374,0.7142751039809884
rxn00202_c,0.999943708,0.6666666666666667
rxn08066_c,0.99994359,0.6761095939888513
rxn11009_c,0.99994358,0.9191491494447899
rxn26298_c,0.99994358,0.9191491494447899
rxn27372_c,0.99994358,0.9191491494447898
rxn15057_c,0.999943212,0.6708378314238524
rxn10170_c,0.9999428,0.8451479775642774
rxn09919_c,0.999942798,0.7142751039809884
rxn35314_c,0.9999425380000002,0.9545433061562097
rxn01511_c,0.999942424,0.7878191753281277
rxn00696_c,0.9999423500000001,0.6761095939888514
rxn00458_c,0.9999423220000001,0.6859943405700353
rxn00623_c,0.9999421400000001,0.9431218491219857
rxn05155_c,0.9999421079999999,0.8451479775642774
rxn00961_c,0.999941998,0.7706684780507517
rxn30022_c,0.999941982,0.8571375519904941
rxn35580_c,0.999941782,0.6666377816291189
rxn00400_c,0.999941558,0.7324680902768703
rxn37733_c,0.999941558,0.7324680902768703
rxn15361_c,0.9999414519999998,0.8749837514623714
rxn00120_c,0.9999413460000002,0.7473941323621034
rxn23650_c,0.9999413,0.8630238854984402
rxn23629_c,0.999940774,0.7999896017469084
rxn30073_c,0.9999405280000001,0.8999896012062619
rxn14165_c,0.999940462,0.8169848059002462
rxn05152_c,0.9999404440000002,0.8451479775642774
rxn37382_c,0.999940372,0.8447385138078422
rxn34028_c,0.9999402380000001,0.7427846817077237
rxn00465_c,0.999940088,0.8411890479666809
rxn16240_c,0.999940086,0.8169848059002458
rxn17073_c,0.999940086,0.8169848059002458
rxn00688_c,0.999939814,0.7324680902768702
rxn12362_c,0.9999395520000001,0.9090887607524345
rxn04782_c,0.999939442,0.6859943405700353
rxn33948_c,0.9999394200000001,0.5000072207900979
rxn09519_c,0.9999393699999999,0.6395958517607776
rxn00709_c,0.9999391299999999,0.6708015015407103
rxn01190_c,0.9999391260000001,0.7706684780507518
rxn05496_c,0.9999388999999999,0.6499365964942582
rxn12897_c,0.9999388440000001,0.8356678527448964
rxn00010_c,0.9999387919999998,0.6761095939888513
rxn11735_c,0.9999387860000001,0.7559184188597893
rxn00547_c,0.999938666,0.7999896017469084
rxn01864_c,0.999938606,0.7765880855922473
rxn08022_c,0.999938606,0.7327229020353131
rxn10883_c,0.9999385140000001,0.8451479775642774
rxn05160_c,0.9999383780000001,0.8451479775642774
rxn05644_c,0.9999383780000001,0.8451479775642774
rxn10151_c,0.9999383099999999,0.8221119918478651
rxn05217_c,0.9999383099999999,0.6499365964942582
rxn10155_c,0.9999383099999999,0.8719814464956077
rxn00589_c,0.9999382499999999,0.8040252381443751
rxn00327_c,0.9999380099999999,0.8703985641051918
rxn00338_c,0.9999379339999999,0.6324308699302441
rxn25052_c,0.9999378760000001,0.7999896017469081
rxn00374_c,0.9999377,0.5
rxn27860_c,0.99993768,0.857137551990494
rxn09502_c,0.9999375780000002,0.7999896017469084
rxn16289_c,0.99993749,0.7324680902768703
rxn09908_c,0.9999373219999999,0.7144576057552338
rxn04054_c,0.9999372799999999,0.599979203493817
rxn20617_c,0.999937228,0.7216878364870323
rxn00339_c,0.9999372260000001,0.7559184188597893
rxn00599_c,0.9999371979999999,0.560112033611204
rxn16793_c,0.999936924,0.6708015015407103
rxn00391_c,0.9999369179999998,0.5669572365014737
rxn05146_c,0.9999366479999999,0.8451479775642774
rxn00959_c,0.99993634,0.7715177067004024
rxn34026_c,0.999936334,0.9198628666356667
rxn18435_c,0.99993604,0.8451479775642774
rxn00439_c,0.9999359419999999,0.7473941323621035
rxn04368_c,0.999935912,0.5999792034938112
rxn21128_c,0.999935608,0.6872252231154812
rxn24284_c,0.999935608,0.6524965295662898
rxn09912_c,0.9999351759999999,0.6299288317138602
rxn08547_c,0.999935086,0.5333585518279609
rxn08430_c,0.9999350719999999,0.5669572365014737
rxn23648_c,0.999934966,0.8280663703086254
rxn29996_c,0.999934834,0.8527983869046055
rxn09221_c,0.9999345099999999,0.6761095939888514
rxn05237_c,0.9999345099999999,0.8451479775642774
rxn09452_c,0.99993441,0.7327229020353129
rxn00401_c,0.9999342920000001,0.5773402637260185
rxn09429_c,0.99993398,0.9534345258290798
rxn28899_c,0.999933746,0.7111887749987416
rxn34004_c,0.99993374,0.6666763000192049
rxn34424_c,0.9999336260000001,0.6980998813039034
